08:58, WALKING, 経路検索
17:33, RUNNING, 動画視聴
23:34, WALKING, レストラン検索
02:27, STABLE, 会議情報
20:21, RUNNING, 楽曲再生
22:37, RUNNING, 動画視聴
14:56, WALKING, ニュース閲覧
20:37, WALKING, 経路検索
09:54, RUNNING, レストラン検索
18:38, RUNNING, 会議情報
12:53, RUNNING, 経路検索
18:46, RUNNING, 動画視聴
22:18, WALKING, 楽曲再生
22:31, RUNNING, 天気情報
19:00, WALKING, ニュース閲覧
05:15, RUNNING, 会議情報
05:00, RUNNING, 会議情報
14:59, WALKING, 楽曲再生
21:38, STABLE, 楽曲再生
08:18, STABLE, 楽曲再生
20:50, RUNNING, ニュース閲覧
15:38, STABLE, 動画視聴
12:02, WALKING, レストラン検索
02:07, RUNNING, ニュース閲覧
06:06, WALKING, 経路検索
20:56, RUNNING, 動画視聴
23:53, STABLE, 楽曲再生
06:33, RUNNING, 経路検索
15:38, WALKING, 経路検索
02:12, RUNNING, 会議情報
05:21, STABLE, ニュース閲覧
01:12, STABLE, 経路検索
00:30, STABLE, 経路検索
09:47, WALKING, レストラン検索
09:05, STABLE, 動画視聴
21:25, STABLE, 楽曲再生
00:18, WALKING, 楽曲再生
19:20, WALKING, ニュース閲覧
04:38, STABLE, 経路検索
22:19, STABLE, レストラン検索
19:25, STABLE, 会議情報
20:33, STABLE, レストラン検索
10:04, STABLE, ニュース閲覧
02:32, STABLE, 天気情報
18:02, WALKING, 楽曲再生
08:36, WALKING, ニュース閲覧
05:34, STABLE, ニュース閲覧
08:56, STABLE, 会議情報
16:36, WALKING, 天気情報
03:13, RUNNING, 動画視聴
18:36, STABLE, ニュース閲覧
16:14, WALKING, レストラン検索
03:56, STABLE, 天気情報
14:38, RUNNING, 動画視聴
11:50, WALKING, 楽曲再生
10:45, WALKING, 楽曲再生
19:57, STABLE, レストラン検索
07:22, RUNNING, 動画視聴
08:25, WALKING, 天気情報
09:45, RUNNING, 経路検索
15:27, RUNNING, レストラン検索
11:43, RUNNING, ニュース閲覧
20:44, STABLE, ニュース閲覧
10:19, RUNNING, レストラン検索
21:06, RUNNING, ニュース閲覧
03:14, RUNNING, 経路検索
23:33, STABLE, 動画視聴
14:42, RUNNING, 楽曲再生
06:39, STABLE, ニュース閲覧
03:56, STABLE, レストラン検索
00:48, WALKING, 会議情報
09:59, WALKING, レストラン検索
03:21, STABLE, 会議情報
22:47, RUNNING, 天気情報
21:11, RUNNING, レストラン検索
18:50, WALKING, 動画視聴
14:07, STABLE, 動画視聴
09:42, STABLE, 楽曲再生
12:45, STABLE, レストラン検索
00:48, STABLE, レストラン検索
18:59, STABLE, ニュース閲覧
13:29, STABLE, 楽曲再生
02:08, RUNNING, 会議情報
07:51, STABLE, ニュース閲覧
16:52, WALKING, 会議情報
22:50, WALKING, ニュース閲覧
13:00, STABLE, 会議情報
02:59, WALKING, 経路検索
08:53, STABLE, 天気情報
02:41, WALKING, 会議情報
05:21, WALKING, 経路検索
05:33, STABLE, 動画視聴
22:59, STABLE, ニュース閲覧
16:55, STABLE, 動画視聴
09:39, STABLE, 動画視聴
12:17, WALKING, 会議情報
16:09, RUNNING, レストラン検索
22:16, WALKING, 動画視聴
01:24, WALKING, ニュース閲覧
11:20, STABLE, 天気情報
07:22, STABLE, 会議情報
03:02, RUNNING, 経路検索
05:35, WALKING, レストラン検索
10:27, STABLE, レストラン検索
13:11, STABLE, 動画視聴
08:18, RUNNING, 会議情報
17:34, STABLE, 経路検索
23:22, STABLE, 会議情報
12:00, RUNNING, ニュース閲覧
08:35, STABLE, 天気情報
17:37, STABLE, 天気情報
11:40, STABLE, 天気情報
15:41, WALKING, レストラン検索
07:29, STABLE, 動画視聴
18:01, WALKING, レストラン検索
07:12, RUNNING, 経路検索
01:49, WALKING, 会議情報
06:23, STABLE, 経路検索
23:48, STABLE, 会議情報
07:56, RUNNING, 経路検索
18:44, STABLE, 経路検索
02:28, WALKING, 経路検索
08:50, STABLE, 楽曲再生
04:29, STABLE, ニュース閲覧
01:31, WALKING, 動画視聴
20:28, STABLE, 動画視聴
05:13, WALKING, レストラン検索
06:41, STABLE, 天気情報
10:47, STABLE, 動画視聴
00:39, STABLE, 楽曲再生
17:55, RUNNING, ニュース閲覧
07:28, WALKING, 会議情報
21:26, RUNNING, 会議情報
15:52, RUNNING, ニュース閲覧
02:14, STABLE, 天気情報
06:52, RUNNING, 楽曲再生
01:01, RUNNING, レストラン検索
15:28, STABLE, 動画視聴
10:36, WALKING, 天気情報
06:46, STABLE, 天気情報
18:46, WALKING, 楽曲再生
20:15, RUNNING, 会議情報
21:55, WALKING, 会議情報
08:37, WALKING, ニュース閲覧
19:25, STABLE, 経路検索
18:18, RUNNING, 会議情報
09:50, RUNNING, 経路検索
22:38, STABLE, レストラン検索
09:18, RUNNING, ニュース閲覧
09:46, WALKING, 会議情報
16:42, RUNNING, ニュース閲覧
14:18, WALKING, レストラン検索
06:30, STABLE, 経路検索
18:05, RUNNING, 経路検索
18:46, WALKING, 経路検索
20:28, WALKING, レストラン検索
09:50, RUNNING, レストラン検索
21:18, RUNNING, 経路検索
23:03, RUNNING, 動画視聴
06:42, STABLE, レストラン検索
20:44, WALKING, 会議情報
20:42, WALKING, 天気情報
16:14, RUNNING, レストラン検索
05:34, WALKING, 楽曲再生
12:17, RUNNING, 動画視聴
01:24, STABLE, レストラン検索
17:24, WALKING, ニュース閲覧
23:58, WALKING, 楽曲再生
19:39, WALKING, 天気情報
00:34, STABLE, 天気情報
11:22, WALKING, 会議情報
01:12, RUNNING, 経路検索
16:08, WALKING, 動画視聴
04:29, RUNNING, 天気情報
22:00, STABLE, 経路検索
05:41, RUNNING, 会議情報
06:16, STABLE, レストラン検索
11:49, RUNNING, 楽曲再生
11:37, WALKING, 楽曲再生
07:04, RUNNING, ニュース閲覧
18:42, STABLE, 楽曲再生
05:28, STABLE, 楽曲再生
09:38, WALKING, 天気情報
01:38, WALKING, レストラン検索
11:16, RUNNING, 楽曲再生
16:20, RUNNING, 楽曲再生
15:16, RUNNING, 会議情報
03:56, WALKING, 会議情報
08:23, RUNNING, 天気情報
05:05, STABLE, 会議情報
09:01, RUNNING, ニュース閲覧
22:26, RUNNING, 動画視聴
00:11, RUNNING, レストラン検索
09:47, RUNNING, 天気情報
13:39, STABLE, 会議情報
12:03, WALKING, 会議情報
02:35, STABLE, 会議情報
21:36, RUNNING, 楽曲再生
20:45, WALKING, レストラン検索
01:58, WALKING, 会議情報
19:17, RUNNING, 動画視聴
13:27, RUNNING, レストラン検索
10:50, WALKING, 動画視聴
07:26, RUNNING, ニュース閲覧
05:27, WALKING, レストラン検索
02:29, RUNNING, 楽曲再生
00:43, RUNNING, 動画視聴
09:34, WALKING, 天気情報
07:49, RUNNING, 経路検索
10:50, WALKING, 天気情報
12:50, WALKING, ニュース閲覧
21:16, WALKING, 天気情報
17:13, RUNNING, 天気情報
21:04, WALKING, レストラン検索
03:56, RUNNING, 動画視聴
16:07, WALKING, レストラン検索
14:27, WALKING, 経路検索
00:35, WALKING, レストラン検索
21:26, WALKING, 天気情報
21:20, WALKING, 楽曲再生
19:29, WALKING, 天気情報
16:54, RUNNING, 楽曲再生
08:12, STABLE, 天気情報
02:36, STABLE, レストラン検索
10:43, STABLE, 天気情報
02:37, STABLE, ニュース閲覧
17:28, STABLE, 動画視聴
08:41, STABLE, 楽曲再生
18:15, STABLE, 経路検索
05:04, RUNNING, 経路検索
18:16, STABLE, レストラン検索
18:44, RUNNING, レストラン検索
05:17, WALKING, 動画視聴
20:50, STABLE, ニュース閲覧
06:52, STABLE, 楽曲再生
18:00, WALKING, 天気情報
02:49, STABLE, 会議情報
17:28, WALKING, 経路検索
23:21, RUNNING, 動画視聴
