9:10, WALKING, 楽曲再生

10:50, WALKING, 会議情報

12:30, STABLE, 楽曲再生

15:00, WALKING, 会議情報

17:45, WALKING, 楽曲再生


7:30, STABLE, 天気情報

11:58, STABLE, レストラン検索

12:45, STABLE, 何もしない

19:00, RUNNING, 楽曲再生


7:15, STABLE, ニュース閲覧

12:10, WALKING, レストラン検索

12:30, STABLE, 楽曲再生

19:20, RUNNING, 楽曲再生


7:30, STABLE, ニュース閲覧

12:50, WALKING, 会議情報

12:50, STABLE, 楽曲再生

19:50, RUNNING, 楽曲再生


12:01, STABLE, レストラン検索

12:30, STABLE, 楽曲再生

19:00, RUNNING, 楽曲再生


7:30, STABLE, ニュース閲覧

12:02, STABLE, レストラン検索

12:30, STABLE, 楽曲再生

19:00, RUNNING, 楽曲再生


8:00, WALKING, 経路検索

8:45, WALKING, 経路検索

8:15, WALKING, 経路検索

12:05, WALKING, レストラン検索

17:30, WALKING, 経路検索

18:00, WALKING, 経路検索


8:25, WALKING, 経路検索

9:00, STABLE, 楽曲再生

9:10, STABLE, 楽曲再生

12:08, WALKING, レストラン検索

19:35, RUNNING, 楽曲再生

19:25, RUNNING, 楽曲再生


8:15, WALKING, 経路検索

9:57, STABLE, 何もしない

10:55, STABLE, 何もしない

12:08, WALKING, レストラン検索

14:55, STABLE, 何もしない

11:00, WALKING, 会議情報

10:55, WALKING, 会議情報

15:55, WALKING, 会議情報

13:00, WALKING, 会議情報

9:55, WALKING, 会議情報
