8:45, WALKING, 経路検索

9:10, WALKING, 楽曲再生

10:55, WALKING, 会議情報

12:30, STABLE, 楽曲再生

14:58, WALKING, 会議情報

17:45, WALKING, 楽曲再生


7:20, STABLE, 天気情報

8:00, WALKING, 経路検索

10:51, WALKING, 会議情報

11:58, WALKING, レストラン検索

12:55, WALKING, 会議情報

19:00, RUNNING, 楽曲再生


7:15, STABLE, 天気情報

8:20, WALKING, 経路検索

12:10, WALKING, レストラン検索

12:30, STABLE, 楽曲再生

19:20, RUNNING, 楽曲再生


7:10, STABLE, 天気情報

8:15, WALKING, 経路検索

10:00, WALKING, 会議情報

13:50, STABLE, 何もしない

19:50, RUNNING, 楽曲再生


12:01, WALKING, レストラン検索

12:30, STABLE, 楽曲再生

19:00, RUNNING, 楽曲再生


7:00, STABLE, 天気情報

11:00, WALKING, 会議情報

12:02, WALKING, レストラン検索

12:30, STABLE, 楽曲再生

14:00, WALKING, 会議情報

19:00, RUNNING, 楽曲再生


8:00, WALKING, 経路検索

10:50, STABLE, 何もしない

12:05, WALKING, レストラン検索

13:50, WALKING, 会議情報

17:30, WALKING, 経路検索

18:00, WALKING, 経路検索


8:25, WALKING, 経路検索

9:00, STABLE, 楽曲再生

9:10, STABLE, 楽曲再生

12:08, WALKING, レストラン検索

14:00, WALKING, 会議情報

19:35, RUNNING, 楽曲再生

19:25, RUNNING, 楽曲再生


8:15, WALKING, 経路検索

9:57, WALKING, 会議情報

10:55, STABLE, 何もしない

12:08, WALKING, レストラン検索

9:55, STABLE, 何もしない

11:00, STABLE, 何もしない

14:55, STABLE, 何もしない
