user,assistant
"time: 8:45:00, status: WALKING","activity: Route Search"
"time: 9:10:00, status: WALKING","activity: Music Playback"
"time: 10:30:00, status: WALKING","activity: Meeting Info"
"time: 12:30:00, status: STABLE","activity: Music Playback"
"time: 15:30:00, status: WALKING","activity: Meeting Info"
"time: 17:45:00, status: WALKING","activity: Music Playback"
"time: 7:20:00, status: STABLE","activity: Weather Info"
"time: 8:00:00, status: WALKING","activity: Route Search"
"time: 10:51:00, status: WALKING","activity: Meeting Info"
"time: 11:58:00, status: STABLE","activity: Do Nothing"
"time: 12:45:00, status: STABLE","activity: Meeting Info"
"time: 19:00:00, status: RUNNING","activity: Music Playback"
"time: 7:15:00, status: STABLE","activity: Weather Info"
"time: 8:20:00, status: WALKING","activity: Route Search"
"time: 12:10:00, status: WALKING","activity: Restaurant Search"
"time: 12:30:00, status: STABLE","activity: Music Playback"
"time: 19:20:00, status: RUNNING","activity: Music Playback"
"time: 7:10:00, status: STABLE","activity: Weather Info"
"time: 8:15:00, status: WALKING","activity: Route Search"
"time: 10:00:00, status: WALKING","activity: Meeting Info"
"time: 12:50:00, status: STABLE","activity: Meeting Info"
"time: 19:50:00, status: RUNNING","activity: Music Playback"
"time: 10:55:00, status: STABLE","activity: Do Nothing"
"time: 12:01:00, status: STABLE","activity: Do Nothing"
"time: 12:05:00, status: WALKING","activity: Restaurant Search"
"time: 12:30:00, status: STABLE","activity: Music Playback"
"time: 19:00:00, status: RUNNING","activity: Music Playback"
"time: 7:00:00, status: STABLE","activity: Weather Info"
"time: 11:00:00, status: WALKING","activity: Meeting Info"
"time: 12:02:00, status: STABLE","activity: Do Nothing"
"time: 12:04:00, status: WALKING","activity: Restaurant Search"
"time: 12:30:00, status: STABLE","activity: Music Playback"
"time: 14:00:00, status: WALKING","activity: Meeting Info"
"time: 19:00:00, status: RUNNING","activity: Music Playback"
"time: 8:00:00, status: WALKING","activity: Route Search"
"time: 10:50:00, status: STABLE","activity: Do Nothing"
"time: 12:05:00, status: WALKING","activity: Restaurant Search"
"time: 13:50:00, status: WALKING","activity: Meeting Info"
"time: 17:30:00, status: WALKING","activity: Route Search"
"time: 18:00:00, status: WALKING","activity: Route Search"
"time: 8:25:00, status: WALKING","activity: Route Search"
"time: 9:00:00, status: STABLE","activity: Music Playback"
"time: 9:10:00, status: STABLE","activity: Music Playback"
"time: 12:08:00, status: WALKING","activity: Restaurant Search"
"time: 14:00:00, status: WALKING","activity: Meeting Info"
"time: 19:35:00, status: RUNNING","activity: Music Playback"
"time: 19:25:00, status: RUNNING","activity: Music Playback"
"time: 8:15:00, status: WALKING","activity: Route Search"
"time: 9:57:00, status: STABLE","activity: Meeting Info"
"time: 10:55:00, status: STABLE","activity: Meeting Info"
"time: 12:08:00, status: WALKING","activity: Restaurant Search"
"time: 14:55:00, status: STABLE","activity: Meeting Info"
