,Name,Genres,Images_url,Popularity,URL,URI
0,ヨルシカ,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebe62cff9c6018ae5616b01eab,71,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik
1,yama,"['j-pop', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5eb25feb1ba3ec364ce810351a6,61,https://open.spotify.com/artist/7kOrrFIBIBc8uCu2zbxbLv,spotify:artist:7kOrrFIBIBc8uCu2zbxbLv
2,Ado,['japanese teen pop'],https://i.scdn.co/image/ab6761610000e5ebf3bb04995cb61f04936424ee,73,https://open.spotify.com/artist/6mEQK9m2krja6X1cfsAjfl,spotify:artist:6mEQK9m2krja6X1cfsAjfl
3,ZUTOMAYO,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebb38a96d85b0580670123280e,61,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,spotify:artist:38WbKH6oKAZskBhqDFA8Uj
4,Lilas Ikuta,"['j-pop', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5eb79f98bece3624ebcd0b036bc,61,https://open.spotify.com/artist/1qM11R4ylJyQiPJ0DffE9z,spotify:artist:1qM11R4ylJyQiPJ0DffE9z
5,Ryokuoushoku Shakai,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebb67ff361e6a49847f821c5e3,64,https://open.spotify.com/artist/4SJ7qRgJYNXB9Yttzs4aSa,spotify:artist:4SJ7qRgJYNXB9Yttzs4aSa
6,Kenshi Yonezu,"['anime', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb48225eeac89ca0846b97d79e,70,https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB,spotify:artist:1snhtMLeb2DYoMOcVbb8iB
7,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb9cb993cafc5d4657346fe42a,69,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,spotify:artist:5Vo1hnCRmCM6M4thZCInCj
8,Yuuri,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5eb2a98f9ecf7217c8f910f9f83,67,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W
9,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",https://i.scdn.co/image/ab6761610000e5eb968120b0312a7893ec391560,76,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9
10,King Gnu,['j-pop'],https://i.scdn.co/image/ab6761610000e5eb649fb65d593a716596566a5e,70,https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2,spotify:artist:6wxfx1yhyqjCPYwwxJktR2
11,Eve,"['anime', 'anime rock']",https://i.scdn.co/image/ab6761610000e5eb13c9c2c4a2cfd69029b94134,66,https://open.spotify.com/artist/58oPVy7oihAEXE0Ott6JOf,spotify:artist:58oPVy7oihAEXE0Ott6JOf
12,LiSA,"['anime', 'anime rock', 'j-pixie', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb07d80c01ab8a84fe0239d676,66,https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv,spotify:artist:0blbVefuxOGltDBa00dspv
13,Aimer,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",https://i.scdn.co/image/ab6761610000e5eb892e373e979d320b1c02cce7,64,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,spotify:artist:0bAsR2unSRpn6BQPEnNlZm
14,Vaundy,"['j-pop', 'japanese soul']",https://i.scdn.co/image/ab6761610000e5eb104822dfaac494e992c7e3f6,71,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,spotify:artist:2IUl3m1H1EQ7QfNbNWvgru
15,SEKAI NO OWARI,"['anime', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb3bdc84aa8946d4d06fe2e144,65,https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK,spotify:artist:7HwzlRPa9Ad0I8rK0FPzzK
16,Aimyon,"['j-acoustic', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb93db4a195c102e95153eb2e5,67,https://open.spotify.com/artist/5kVZa4lFUmAQlBogl1fkd6,spotify:artist:5kVZa4lFUmAQlBogl1fkd6
17,back number,"['j-pop', 'j-rock']",https://i.scdn.co/image/ab6761610000e5eb0bdb9aaeed57bd05a0364c83,71,https://open.spotify.com/artist/6rs1KAoQnFalSqSU4LTh8g,spotify:artist:6rs1KAoQnFalSqSU4LTh8g
18,milet,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebaca6904f2bb44ea5eade9577,62,https://open.spotify.com/artist/45ft4DyTCEJfQwTBHXpdhM,spotify:artist:45ft4DyTCEJfQwTBHXpdhM
19,RADWIMPS,"['j-pop', 'j-rock', 'visual kei']",https://i.scdn.co/image/ab6761610000e5ebc9d443fb5ced1dd32d106632,71,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,spotify:artist:1EowJ1WwkMzkCkRomFhui7
