ymd	no	display_link	title	link	snippet
20240402	1	weathernews.jp	東京の天気 - ウェザーニュース	https://weathernews.jp/onebox/tenki/tokyo/	新年度初日は天気急変に注意. 今日は雲が多く、にわか雨の可能性があります。一時的に強く降ったり、雷やアラレを伴うおそれも。日差しの届くチャンスがあっても油断は?...
20240402	2	weather.yahoo.co.jp	東京（東京）の天気 - Yahoo!天気・災害	https://weather.yahoo.co.jp/weather/jp/13/4410.html	東京（東京）の天気予報。今日・明日の天気と風と波、明日までの6時間ごとの降水確率と最高・最低気温を見られます。
20240402	3	tenki.jp	東京都の天気 - 日本気象協会 tenki.jp	https://tenki.jp/forecast/3/16/	東京都の天気予報です。市区町村別の今日の天気、気温、降水確率が地図上に表示されているので、ひと目でわかります。タブ切り替えで10日間先まで見ることができます。
20240402	4	www.nhk.or.jp	【NHK】東京都 天気｜今日・明日・明後日の天気予報	https://www.nhk.or.jp/kishou-saigai/pref/weather/tokyo/	【東京都】の天気予報。きょうから1週間先までの天気・降水確率・最高・最低気温を確認できます。詳細は市区町村を選択してご覧ください。アメダス情報も掲載してい?...
20240402	5	tenki.jp	東京都の服装指数 - 日本気象協会 tenki.jp	https://tenki.jp/indexes/dress/3/16/	お役立ち服装情報 ? その他の指数 ? 東京都の服装指数 ? おすすめ情報 ? おすすめ記事 ? 天気ガイド ? 最新の記事(気象予報士) ? 今日の天気(東京都) 01日20:00発表.
20240402	6	www.jma.go.jp	天気予報 - 気象庁	https://www.jma.go.jp/bosai/forecast/	"今日 01日(月), 明日 02日(火), 明後日 03日(水), 04日 ... 東京. 曇一時雨. 晴. 曇一時雨. 曇一時雨. 曇時々晴. 曇 ... 2週間気温予報へ. 週間天気予報解説資料へ."
20240402	7	typhoon.yahoo.co.jp	東京都の警報・注意報 - Yahoo!天気・災害	https://typhoon.yahoo.co.jp/weather/jp/warn/13/	防災に役立つ最新の特別警報、警報、注意報、今後の推移を市区町村レベルで提供。
20240402	8	weather.com	"港区, 東京都の1時間ごとの天気予報 - The Weather Channel ..."	https://weather.com/ja-JP/weather/hourbyhour/l/Minato+ku+Tokyo+Prefecture?canonicalCityId=88531c440be4859e58ca9bee96a8fef95643429857e3c626542368c9cb3c4815	"港区, 東京都 の天気. 31. 今日 ? 1時間ごと ? 10日間 ? レーダー. 1時間ごとの天気-港区, 東京都."
20240402	9	www.toshin.com	東京の14日間(2週間)の1時間ごとの天気予報 -Toshin.com 天気情報 ...	https://www.toshin.com/weather/detail?id=56682	全国学校のお天気. Produced by 東進. お天気検索. 会員登録 ? ログイン. 東京. Home > 東京都 > 千代田区. 所在地：東京都千代田区JR上越新幹線. 今日. 2024年 4月2日（火?...
20240402	10	www.data.jma.go.jp	天気予報 - 気象庁	https://www.data.jma.go.jp/multi/yoho/yoho_detail.html?code=130010&lang=jp	"最高気温最低気温, 最高気温最低気温, 最高気温最低気温. 東京26°C-, 東京19°C13°C, 東京--. 降水確率. 00-06--%. 06-120%. 12-180%. 18-2410%. 降水確率. 00-0620%."
